,ticker,sectorKey,industryKey,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,dividendRate,dividendYield,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,marketCap,priceToSalesTrailing12Months,enterpriseValue,profitMargins,floatShares,sharesShort,sharesShortPriorMonth,heldPercentInsiders,heldPercentInstitutions,shortRatio,priceToBook,earningsQuarterlyGrowth,trailingEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,targetHighPrice,targetLowPrice,recommendationMean,numberOfAnalystOpinions,totalCash,ebitda,totalDebt,quickRatio,totalRevenue,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
0,A,healthcare,diagnostics-research,17400.0,9.0,4.0,4.0,9.0,8.0,0.94,0.0064999997,0.66,1.055,30.040041,25.627079,41603084288.0,6.40343,42887454720.0,0.21747999,286195600.0,3310947.0,2855618.0,0.00273,0.92037004,2.31,7.052752,1.541,4.82,5.63,6.601,27.422,165.0,130.0,2.5,16.0,1779000064.0,1564000000.0,3116000000.0,1.258,6496999936.0,52.787,0.07579,0.24658,879500032.0,1786000000.0,1.569,-0.056,0.54394,0.24073,0.24968
1,AA,basic-materials,aluminum,13600.0,5.0,1.0,1.0,2.0,1.0,0.4,0.0106,,2.426,,15.25,9928006656.0,0.9276777,12447173632.0,-0.05139,256183000.0,9705780.0,13010958.0,0.00764,0.63726,1.98,2.5462134,,-3.07,1.75,1.163,19.091,52.0,37.0,2.2,10.0,1396000000.0,652000000.0,2579000064.0,0.78,10702000128.0,47.618,8.9999994e-05,-0.11723,657625024.0,331000000.0,,0.083,0.09082,0.06092,0.04198
2,AAL,industrials,airlines,137400.0,4.0,1.0,9.0,4.0,5.0,,,1.27,1.436,,6.086735,7834479104.0,0.14658134,38287908864.0,-0.00226,645119656.0,95522005.0,121642787.0,0.01274,0.62641996,3.29,,-0.464,-0.18,-12.17,0.716,7.435,18.0,9.0,2.7,15.0,8986999808.0,5150000128.0,39446999040.0,0.449,53447999488.0,,0.02779,,675000000.0,2015000064.0,-0.463,0.02,0.23937,0.09636,0.09823
3,AAME,financial-services,insurance-life,154.0,,,,,,0.02,0.0121,0.65,0.443,,,33863668.0,0.18206176,52723600.0,-0.01694,4055676.0,42465.0,5599.0,0.80286,0.05527,9.7,0.33657745,,-0.17,,0.283,-149.783,,,,,21213000.0,-352000.0,40120000.0,0.947,186000992.0,39.852,-0.0014599999,-0.030869998,10483625.0,2615000.0,,-0.031,0.080570005,-0.00189,0.00037999998
4,AAN,industrials,rental-leasing-services,9071.0,4.0,4.0,2.0,2.0,2.0,0.5,0.0496,,1.421,,24.023811,318347584.0,0.15380754,976870848.0,-0.020569999,29872163.0,3968776.0,2076861.0,0.04575,0.87738,4.37,0.47118708,,-1.39,-3.86,0.472,6.333,10.1,10.0,3.0,3.0,34161000.0,154254000.0,701139968.0,0.272,2069778944.0,106.607,0.02184,-0.062230002,500723008.0,59141000.0,,-0.051,0.52529997,0.07453,0.03718
5,AAOI,technology,communication-equipment,2149.0,9.0,6.0,6.0,8.0,7.0,,,,1.961,,28.368422,661283456.0,3.1954706,771329536.0,-0.34838,38608827.0,11411982.0,10390433.0,0.05731,0.71731,4.66,3.5244117,,-1.88,-1.63,3.727,-19.707,18.0,9.0,2.2,4.0,10653000.0,-39139000.0,109248000.0,0.844,206944000.0,58.58,-0.10481,-0.41227,-37144376.0,-44267000.0,,0.04,0.28476998,-0.18913001,-0.60652
6,AAON,industrials,building-products-equipment,3856.0,7.0,3.0,1.0,6.0,4.0,0.32,0.0029,0.56,0.799,49.09417,39.666668,8869325824.0,7.426548,8879726592.0,0.15605,66698125.0,3457102.0,3435197.0,0.17525,0.74136,11.88,11.967644,-0.673,2.23,3.96,7.435,29.119,105.0,90.0,2.3,4.0,2859000.0,304944000.0,40000000.0,1.573,1194273024.0,8.581,0.16217,0.26613,84835624.0,226867008.0,-0.686,0.168,0.36271998,0.25534,0.0399
7,AAP,consumer-cyclical,specialty-retail,40000.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0257,2.4,1.187,,14.079487,2293701120.0,0.20346396,6302045184.0,-0.0010800001,58857616.0,9562124.0,7419776.0,0.010880001,1.10354,3.1,0.87410456,-0.427,-0.21,0.17,0.559,17.546,85.0,17.0,3.0,17.0,479417984.0,359175008.0,4478424064.0,0.252,11273254912.0,171.801,0.00245,-0.00456,493546624.0,542320000.0,-0.432,-0.001,0.39603,0.03186,0.02674
8,AAPL,technology,consumer-electronics,161000.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0044,0.64,1.239,34.93759,30.687164,3489949024256.0,9.050627,3472141058048.0,0.26441,15179354257.0,130539888.0,121598771.0,0.02704,0.60981,3.03,52.382473,0.079,6.57,3.05,9.004,26.348,300.0,183.86,2.1,40.0,61801000960.0,131781001216.0,101304000512.0,0.798,385603010560.0,151.862,0.22612,1.60583,86158123008.0,113040998400.0,0.111,0.049,0.45962003,0.34175,0.29556
9,AAT,real-estate,reit-diversified,228.0,5.0,8.0,1.0,9.0,7.0,1.34,0.0511,4.41,1.318,29.61798,37.126762,2031910656.0,4.609608,3141034496.0,0.121199995,52189003.0,1094333.0,1066227.0,0.0149300005,0.93151003,4.52,1.3464781,-0.007,0.89,11.76,7.126,13.088,26.0,23.0,3.0,2.0,123386000.0,239999008.0,1712956032.0,0.37,440799008.0,149.517,0.02537,0.05904,104479000.0,204692992.0,-0.009,0.011,0.64171,0.54446,0.28033
10,AAXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ABBV,healthcare,drug-manufacturers-general,50000.0,2.0,5.0,2.0,9.0,6.0,6.2,0.0321,4.19,0.618,65.11706,16.11755,343906385920.0,6.2528434,398745993216.0,0.09707,1762952365.0,17793512.0,20188371.0,0.00093000004,0.73393,4.24,50.729546,-0.323,2.99,2.86,7.25,15.265,225.0,170.0,2.1,25.0,13157000192.0,26121000960.0,70938001408.0,0.594,54999998464.0,1039.994,0.07936,0.54262,19637499904.0,18638000128.0,-0.325,0.043,0.6966,0.47493,0.3456
12,ABCB,financial-services,banks-regional,2751.0,3.0,5.0,3.0,2.0,2.0,0.6,0.01,1.45,1.025,13.511111,12.16,4199273472.0,4.1339855,3851325440.0,0.30631,64927123.0,875594.0,749190.0,0.05353,0.92655,2.89,1.1729753,0.449,4.5,1.59,3.791,,76.0,64.0,2.2,5.0,1377776000.0,,1088155008.0,,1015793024.0,,0.01189,0.09083,,266312992.0,0.453,0.218,,,0.46445
13,ABEO,healthcare,biotechnology,84.0,,,,,,,,,1.513,,-4.4864864,287607616.0,Infinity,183300016.0,,28006656.0,2628965.0,3025667.0,0.05057,0.79695,12.08,3.7770193,,-1.77,,,-3.348,21.0,7.5,1.6,6.0,122708000.0,-54747000.0,23165000.0,7.383,,31.628,-0.37814,-1.2738,-20499376.0,-42203000.0,,,,,
14,ABG,consumer-cyclical,auto-truck-dealerships,15000.0,7.0,1.0,3.0,6.0,3.0,,,,1.158,11.354166,7.699862,4464553472.0,0.28034344,9712657408.0,0.025120001,15770892.0,2095538.0,1948162.0,0.00521,1.1058,9.95,1.3404238,-0.857,19.68,-82.7,0.61,8.989,310.0,216.0,2.7,7.0,106000000.0,1080499968.0,5257600000.0,0.216,15925300224.0,157.853,0.06831,0.12501,-634899968.0,114000000.0,-0.851,0.135,0.17754,0.06785,0.05558
15,ABIO,healthcare,biotechnology,3.0,,,,,,,,,0.895,,-3.272727,34817184.0,,3008857.0,,4788228.0,4986371.0,4226633.0,0.0128999995,1.01464,62.38,12.828508,,-5.88,,,-0.35,,,,,33283000.0,-8589000.0,24000.0,26.186,,0.074,-0.14351,-0.20053,-4978250.0,-6887000.0,,,,,
16,ABM,industrials,specialty-business-services,123000.0,6.0,1.0,1.0,4.0,2.0,0.9,0.0172,1.87,1.134,21.694214,14.227642,3296543232.0,0.3983786,4657710592.0,0.01884,61966810.0,1516553.0,1752127.0,0.01387,0.97865,3.47,1.7962843,-0.952,2.42,4.06,0.563,12.575,63.0,55.0,2.6,6.0,86300000.0,370400000.0,1459399936.0,1.253,8274899968.0,79.531,0.03265,0.08438,257587504.0,335500000.0,-0.952,0.033,0.13508001,0.04476,0.017860001
17,ABR,real-estate,reit-mortgage,647.0,8.0,9.0,10.0,6.0,10.0,1.72,0.1154,10.47,2.011,10.499999,9.163636,2850860800.0,4.2722836,13539025920.0,0.47389,181417960.0,63413477.0,67986218.0,0.02465,0.60419,22.86,1.1774784,-0.333,1.44,1.08,20.29,,16.5,13.0,3.0,5.0,739318976.0,,10703572992.0,4.138,667292032.0,335.889,0.0224,0.107159995,,464124000.0,-0.392,-0.199,0.91275,,0.43576
18,ABT,healthcare,medical-devices,114000.0,9.0,7.0,9.0,2.0,7.0,2.2,0.019199999,1.64,0.722,36.46855,22.562258,201776201728.0,4.9546027,207312470016.0,0.13645001,1728901575.0,13364651.0,12681454.0,0.00525,0.77505,3.04,5.1318703,-0.053,3.18,3.0,5.091,19.611,143.0,105.23,2.0,23.0,7218999808.0,10570999808.0,14844999680.0,1.023,40725000192.0,37.525,0.06255,0.14441,5387749888.0,7900000256.0,-0.051,0.04,0.55474997,0.25957,0.17663999
19,AC,financial-services,asset-management,25.0,4.0,10.0,8.0,10.0,10.0,0.2,0.0055,0.54,0.88,23.487013,13.965251,769357568.0,57.235348,390645216.0,2.4648101,1171157.0,17646.0,14421.0,0.02263,0.70212996,4.08,0.8437135,-0.115,1.54,,29.062,-23.496,,,,,387376992.0,-16626000.0,,26.627,13442000.0,,-0.01128,0.03628,-10961875.0,-5705000.0,-0.07,0.089,-0.31297,-1.2368699,-1.4158
20,ACA,industrials,engineering-construction,6075.0,1.0,1.0,3.0,1.0,1.0,0.2,0.0022,0.35,0.713,31.135761,21.867441,4587159552.0,1.8821434,5172684800.0,0.06048,47941011.0,603381.0,619442.0,0.0129700005,0.92111,2.39,1.9000566,0.115,3.02,6.34,2.122,14.457,110.0,96.0,1.4,5.0,103700000.0,357800000.0,742400000.0,1.273,2437199872.0,30.741,0.03204,0.06283,-9600000.0,224900000.0,0.108,0.137,0.19026,0.14681,0.08801
21,ACAD,healthcare,biotechnology,630.0,7.0,4.0,7.0,8.0,6.0,,,,0.383,76.789474,17.36905,2420130816.0,2.7176175,1955281664.0,0.03432,108459715.0,9232400.0,10661456.0,0.00537,1.00301,7.26,4.6837883,28.972,0.19,-0.08,2.196,57.049,39.0,12.0,2.2,18.0,500942016.0,34274000.0,57656000.0,1.809,890534016.0,11.159,0.01832,0.066989996,130438376.0,80526000.0,28.347,0.464,0.51343,0.03849,0.12579
22,ACCO,industrials,business-equipment-supplies,5600.0,1.0,1.0,2.0,4.0,1.0,0.3,0.057800002,4.37,1.601,,4.383333,503896448.0,0.29063126,1459690752.0,-0.10151,91315457.0,2258714.0,1575040.0,0.032560002,0.84940004,4.46,0.81651664,,-1.84,0.51,0.842,7.162,13.0,7.0,1.5,3.0,112700000.0,203800000.0,1075200000.0,0.995,1733799936.0,174.234,0.03469,-0.24318,207987504.0,170600000.0,,-0.112,0.33326,0.11755,0.11156999
23,ACGL,financial-services,insurance-diversified,6400.0,8.0,4.0,1.0,8.0,6.0,,,,0.594,7.952883,12.427471,42528395264.0,2.7483776,41367949312.0,0.35195,362229819.0,5446966.0,5105480.0,0.02992,0.89426005,4.28,2.135103,0.891,14.22,0.61,2.673,8.834,138.0,98.0,2.1,15.0,3353999872.0,4682999808.0,2727000064.0,0.313,15473999872.0,13.196,0.048049998,0.30843002,4589250048.0,6717000192.0,0.886,0.337,0.39918998,0.30264,0.32466
24,ACHC,healthcare,medical-care-facilities,23500.0,5.0,7.0,2.0,4.0,4.0,,,,1.287,,13.690176,5047332352.0,1.6509522,7140388864.0,-0.0016699999,90389513.0,3733385.0,3652988.0,0.029679999,1.05656,4.86,1.6875212,0.086,-0.08,1.56,2.336,10.623,105.0,75.0,1.8,12.0,77167000.0,672171008.0,1973836032.0,1.065,3057224960.0,64.408,0.061300002,0.00126,-143484368.0,104025000.0,0.076,0.088,0.43081,0.21986,0.17927
25,ACHV,healthcare,biotechnology,22.0,,,,,,,,,1.573,,-4.8301888,175827456.0,,137310672.0,,32559333.0,3163424.0,2977561.0,0.09648,0.64519995,35.72,4.15922,,-1.07,-0.32,,-5.461,30.0,10.0,1.7,8.0,61313000.0,-25142000.0,17645000.0,4.475,,41.729,-0.33844003,-1.05952,-12157500.0,-19709000.0,,,,,
26,ACIW,technology,software-infrastructure,3212.0,6.0,2.0,3.0,1.0,1.0,,,,1.19,30.394115,26.497435,5407626752.0,3.5365324,6215901696.0,0.12011,103613824.0,2347329.0,2278741.0,0.008909999,1.01753,3.68,4.381041,,1.7,2.71,4.065,17.148,61.0,52.0,1.9,6.0,156983008.0,362494016.0,1051062976.0,0.504,1529075968.0,84.985,0.06043,0.15246001,243348880.0,289267008.0,,0.155,0.50711,0.23707001,0.14486
27,ACLS,technology,semiconductor-equipment-materials,1620.0,4.0,1.0,3.0,6.0,3.0,,,,1.576,13.794765,13.737998,3266652672.0,2.9389668,2737945344.0,0.21542999,32227481.0,2190559.0,2153499.0,0.01192,0.97577006,4.35,3.4939299,-0.174,7.26,2.95,2.463,10.181,175.0,110.0,2.1,6.0,548308992.0,268926016.0,73422000.0,3.016,1111496960.0,7.853,0.13489,0.28523,138895744.0,171884992.0,-0.167,-0.064,0.44627997,0.24194999,0.20587999
28,ACM,industrials,engineering-construction,52000.0,8.0,3.0,2.0,3.0,3.0,0.88,0.0084,,1.175,38.750183,21.129377,14078778368.0,0.88895833,15724697600.0,0.01611,133415182.0,2179789.0,2227114.0,0.00482,0.90605,3.15,6.200578,,2.71,1.65,0.993,14.74,119.0,99.0,1.7,9.0,1660112000.0,1066792000.0,3154374912.0,0.996,15837388800.0,126.242,0.04756,0.16784,688704128.0,813899008.0,,0.133,0.06582,0.06736,0.060450003
29,ACMR,technology,semiconductor-equipment-materials,1590.0,10.0,8.0,10.0,10.0,10.0,,,,1.516,17.656,11.554974,1378730496.0,1.9879007,1310779264.0,0.12259,47603393.0,4958537.0,4589858.0,0.16790001,0.60722,5.28,1.653555,-0.097,1.25,0.28,1.89,10.225,40.0,23.0,1.9,7.0,370811008.0,128190000.0,151195008.0,1.225,693561024.0,15.099,0.05,0.11748999,-79271000.0,-4236000.0,-0.135,0.4,0.49526,0.18483,0.18566
30,ACN,technology,information-technology-services,774000.0,2.0,3.0,4.0,4.0,2.0,5.92,0.0164,1.34,1.239,31.96322,26.054245,228502519808.0,3.5210319,225588166656.0,0.111940004,624873200.0,6261625.0,6613782.0,0.00067000004,0.78079003,3.53,8.077451,0.227,11.42,2.92,3.476,18.487,415.0,330.0,2.0,23.0,5009865216.0,12202324992.0,4120549120.0,0.984,64896462848.0,14.127,0.11703,0.26674998,8401985536.0,9131027456.0,0.237,0.026,0.32609,0.18802999,0.14992
31,ACNB,financial-services,banks-regional,413.0,7.0,2.0,7.0,9.0,6.0,1.28,0.0304,3.38,0.592,11.472678,10.8221655,358831008.0,3.3626747,579719168.0,0.29227,8145095.0,165886.0,125265.0,0.04239,0.34085998,10.73,1.2402163,0.184,3.66,,5.433,,45.0,37.0,2.5,2.0,86274000.0,,306564000.0,,106710000.0,,0.0128999995,0.11416,,36653000.0,0.18,0.081,,,0.48668
32,ACOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ACRE,real-estate,reit-mortgage,,7.0,8.0,5.0,9.0,7.0,1.0,0.1506,12.22,1.495,,11.310345,357642656.0,7.0281734,1747312512.0,-0.95656997,52335433.0,1648140.0,1792607.0,0.06908,0.45529997,4.38,0.6132561,,-0.9,8.15,34.337,,7.0,6.5,3.2,4.0,70649000.0,,1456516992.0,95.282,50887000.0,250.148,-0.02178,-0.07645,,43678000.0,,2.942,1.0,,0.53529
34,ACRS,healthcare,diagnostics-research,86.0,7.0,9.0,10.0,8.0,10.0,,,,0.217,,-1.828125,83473176.0,2.6073146,-25517314.0,-1.83286,55201424.0,1710735.0,1796089.0,0.026530001,0.77699995,6.67,0.62366736,,-0.82,-0.03,-0.797,0.311,2.0,1.0,3.0,4.0,111093000.0,-82149000.0,2816000.0,7.105,32015000.0,2.104,-0.25957,-0.37425998,-39516124.0,-64455000.0,,0.48,-1.7329401,-2.56595,-4.57484
35,ACTG,industrials,business-equipment-supplies,170.0,3.0,2.0,4.0,2.0,2.0,,,,0.517,6.066667,-21.666668,456706272.0,2.9937549,135282336.0,0.44417,37032522.0,910593.0,793055.0,0.01756,0.86638,2.55,0.8145364,,0.75,-4.48,0.887,2.364,7.0,7.0,,1.0,441912000.0,57230000.0,84437000.0,10.422,152552992.0,14.15,0.03596,0.14303,-95083248.0,67571000.0,,2.269,0.57147,0.37515,-0.18415001
36,ACU,consumer-defensive,household-personal-products,645.0,,,,,,0.6,0.014099999,1.76,0.656,8.196851,25.236364,153858544.0,0.79840267,195217360.0,0.100930005,3012210.0,34847.0,38225.0,0.12921,0.80637,2.37,1.480007,0.293,5.08,1.98,1.013,9.643,58.0,53.0,2.0,2.0,3791000.0,20244208.0,42194000.0,1.567,192707952.0,40.588,0.05473,0.20735,8434696.0,15086495.0,0.135,0.039,0.39402,0.10505,0.11502
37,ADBE,technology,software-infrastructure,29945.0,1.0,6.0,6.0,1.0,1.0,,,0.12,1.289,41.871185,24.042822,217494011904.0,10.383063,217007849472.0,0.25588,439042274.0,6068334.0,5228232.0,0.00217,0.87176,2.53,15.116413,0.2,11.8,1.95,10.36,26.679,732.52,440.0,2.0,33.0,7514999808.0,8134000128.0,6078000128.0,0.966,20946999296.0,41.788,0.15969,0.35355,6618500096.0,6732000256.0,0.233,0.106,0.88657,0.38831002,0.36834
38,ADC,real-estate,reit-retail,72.0,1.0,3.0,5.0,9.0,5.0,3.0,0.040599998,4.03,0.621,41.198326,39.862164,7446180352.0,12.772047,10264590336.0,0.32084998,98472928.0,11359859.0,9967553.0,0.01819,1.06265,11.81,1.4845496,0.339,1.79,20.41,17.606,22.804,84.0,67.0,1.8,18.0,16499000.0,450128000.0,2691915008.0,1.222,583006016.0,52.138,0.02327,0.03701,336406368.0,407988992.0,0.244,0.175,0.87978995,0.77208,0.49019
39,ADI,technology,semiconductors,26000.0,3.0,8.0,10.0,8.0,9.0,3.68,0.016,1.78,1.071,70.042046,30.933687,115802030080.0,11.937817,119468220416.0,0.17068,493986163.0,8278010.0,8480403.0,0.00246,0.92579,2.56,3.2907715,-0.553,3.33,62.38,12.316,27.392,295.0,203.4,2.1,25.0,2545699072.0,4361349120.0,8118322176.0,1.138,9700435968.0,23.07,0.0286,0.04658,2862019584.0,3989006080.0,-0.546,-0.248,0.57852,0.44959998,0.2178
40,ADM,consumer-defensive,farm-products,40213.0,10.0,9.0,3.0,1.0,8.0,2.0,0.0348,2.6,0.712,11.3476095,10.529575,27237359616.0,0.3068376,38942072832.0,0.0293,473508832.0,9002479.0,7667342.0,0.0058,0.81446,3.95,1.2294163,-0.476,5.02,-2.2,0.439,9.765,67.0,57.0,3.1,10.0,764000000.0,3988000000.0,11875999744.0,0.375,88768004096.0,52.874,0.03415,0.1075,2144875008.0,4728999936.0,-0.424,-0.117,0.07441,0.04493,0.0222
41,ADMA,healthcare,biotechnology,624.0,8.0,6.0,7.0,8.0,7.0,,,,0.62,145.17857,30.335821,4737412096.0,14.345187,4882630144.0,0.105340004,228796434.0,12421213.0,9015280.0,0.025829999,0.801,3.24,25.154703,,0.14,,14.785,51.346,20.0,18.0,1.7,4.0,88244000.0,95093000.0,141398000.0,2.679,330244000.0,75.104,0.15071,0.20768,43769448.0,73010000.0,,0.783,0.46752998,0.28795,0.36571
42,ADNT,consumer-cyclical,auto-parts,70000.0,6.0,1.0,1.0,2.0,1.0,,,,2.162,28.473333,7.8223443,1861940352.0,0.12534098,4112633088.0,0.0049799997,85823667.0,4887879.0,4764739.0,0.018480001,0.97028,3.81,0.96624583,,0.75,0.53,0.277,5.688,35.0,21.0,2.8,8.0,890000000.0,723000000.0,2784000000.0,0.737,14855000064.0,121.838,0.02604,0.06547,445124992.0,574000000.0,,-0.084,0.06079,0.04867,0.022869999
43,ADP,technology,software-application,64000.0,4.0,4.0,2.0,2.0,2.0,5.6,0.0196,2.02,0.801,31.623074,26.400917,117360082944.0,6.111676,117278105600.0,0.19539,407089717.0,6737390.0,4890991.0,0.0011,0.83825,5.04,25.825182,0.068,9.1,3.11,6.107,21.013,310.0,260.0,2.8,14.0,2913400064.0,5581100032.0,3798599936.0,0.141,19202600960.0,83.53,0.059559997,0.9314,3699824896.0,4157600000.0,0.072,0.065,0.47894,0.29064,0.24079001
44,ADSK,technology,software-application,14100.0,7.0,1.0,6.0,2.0,2.0,,,0.48,1.478,56.85421,30.19411,59670130688.0,10.279092,59867201536.0,0.18208,214492600.0,3338009.0,2449387.0,0.00183,0.94792,2.24,24.061876,0.27,4.87,2.92,10.313,42.885,325.0,257.0,2.1,23.0,1878000000.0,1396000000.0,2603000064.0,0.526,5805000192.0,105.214,0.0889,0.57445997,1633500032.0,1160999936.0,0.262,0.119,0.91920996,0.24048,0.23653999
45,ADT,industrials,security-protection-services,14300.0,8.0,10.0,4.0,8.0,9.0,0.22,0.0313,1.96,1.53,Infinity,8.46988,6410150912.0,1.2627512,14127122432.0,0.13269,277767463.0,20145028.0,14973537.0,0.012519999,0.96111,6.27,1.6662717,0.002,,2.69,2.783,5.852,14.0,7.0,2.5,6.0,37883000.0,2414235904.0,7828516864.0,0.336,5076337152.0,205.569,0.04073,0.00155,589408512.0,1785296000.0,0.022,0.031,0.79913,0.47559,0.23745
46,ADTN,technology,communication-equipment,3227.0,10.0,5.0,9.0,1.0,6.0,0.36,0.0677,2.9,1.194,,24.333334,462714880.0,0.48708162,1003447104.0,-0.59257,63059126.0,2638643.0,2679772.0,0.015190001,0.87403,6.42,2.0909417,,-7.15,-8.7,1.056,-25.683,8.0,6.0,2.3,4.0,111185000.0,-39070000.0,216886000.0,1.102,949974016.0,32.863,-0.051090002,-0.58409,129861000.0,47052000.0,,-0.31,0.33104,-0.04113,-0.092250004
47,ADUS,healthcare,medical-care-facilities,6059.0,2.0,6.0,5.0,7.0,5.0,,,,1.039,30.72209,22.3,2341092608.0,2.1001244,2185643776.0,0.06181,17572444.0,401903.0,402732.0,0.0175,1.00641,3.74,2.5118463,0.217,4.21,2.05,1.961,18.091,155.0,83.0,1.7,9.0,173304992.0,120815000.0,49583000.0,1.915,1114739968.0,5.38,0.06519,0.08677,90779752.0,109325000.0,0.209,0.104,0.32598,0.108380005,0.09125
48,ADVM,healthcare,biotechnology,121.0,9.0,5.0,9.0,8.0,8.0,,,,1.033,,-1.589852,156422768.0,Infinity,58356872.0,,13705507.0,1630669.0,1495956.0,0.01228,0.94831,10.37,0.93092346,,-7.89,,,-0.563,40.0,12.0,1.9,7.0,173827008.0,-103713000.0,73889000.0,7.739,,43.974,-0.27306,-0.66756,-54427000.0,-88330000.0,,,,,
49,AE,energy,oil-gas-refining-marketing,741.0,,,,,,0.96,0.0349,3.25,0.806,,195.35715,70226592.0,0.024641706,75028400.0,-0.00046999997,2175124.0,33201.0,19457.0,0.07956,0.56128,3.44,0.7870277,,-0.52,,0.026,2.779,45.0,38.75,1.5,2.0,38512000.0,26998000.0,42980000.0,0.911,2849907968.0,48.168,0.00168,-0.014839999,45458876.0,55261000.0,,0.15,0.0155,0.00947,-0.00339
50,AEE,utilities,utilities-regulated-electric,9372.0,6.0,5.0,6.0,8.0,7.0,2.68,0.0309,2.77,0.46,19.512417,17.604889,23063660544.0,3.3199456,41026351104.0,0.16841999,265493314.0,3649165.0,2727164.0,0.0027599998,0.79578,2.99,1.9986128,0.089,4.43,3.07,5.906,12.519,97.0,75.0,2.4,13.0,19000000.0,3276999936.0,17770000384.0,0.304,6946999808.0,152.297,0.029679999,0.10446999,-1356749952.0,2502000128.0,0.075,-0.042,0.52050996,0.47171003,0.26909
51,AEHR,technology,semiconductor-equipment-materials,115.0,8.0,8.0,6.0,1.0,4.0,,,,2.039,11.8125,26.999998,391392352.0,5.910664,321080992.0,0.50071,27375452.0,5033180.0,5055723.0,0.056599997,0.67059,6.51,3.4372563,2.905,1.12,2.03,4.849,29.91,25.0,25.0,2.5,1.0,49159000.0,10735000.0,6197000.0,5.63,66218000.0,5.553,0.05573,0.35424,-4263250.0,1756000.0,2.898,-0.255,0.49145,0.16212,0.15307
52,AEIS,industrials,electrical-equipment-parts,10000.0,4.0,2.0,1.0,4.0,2.0,0.4,0.0038,,1.49,43.44309,19.717712,4026060288.0,2.6703608,4012467456.0,0.06,37357217.0,2079628.0,2157466.0,0.00802,1.07391,9.97,3.455445,-0.446,2.46,3.97,2.661,26.631,135.0,98.0,2.5,9.0,988494976.0,150671008.0,1020859008.0,4.077,1507683968.0,87.622,0.02315,0.081149995,96014128.0,170520000.0,-0.453,-0.122,0.35395,0.09994,0.03753
53,AEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,AEMD,healthcare,medical-devices,14.0,,,,,,,,,1.748,,-0.5951515,5474571.0,,-2669315.0,,13837396.0,182089.0,619315.0,0.00541,0.01301,0.06,0.62848,,-3.85,,,0.251,7.0,0.71,2.5,2.0,9072379.0,-10632480.0,869945.0,4.261,,9.985,-0.50463,-1.05377,-5206360.0,-9394960.0,,,,,
55,AEO,consumer-cyclical,apparel-retail,10300.0,3.0,4.0,3.0,5.0,3.0,0.5,0.0238,2.91,1.48,16.48,10.618557,3956518400.0,0.73067385,5174126592.0,0.04581,175924483.0,15819844.0,17878790.0,0.061,1.0506301,3.45,2.334542,0.591,1.25,0.95,0.956,7.67,34.0,17.0,2.8,9.0,191836992.0,674590976.0,1323025024.0,0.533,5414889984.0,78.084,0.08041,0.14731,383513760.0,472959008.0,0.568,0.075,0.39382,0.12458,0.07831
56,AEP,utilities,utilities-regulated-electric,17250.0,7.0,1.0,1.0,6.0,2.0,3.52,0.0359,3.5,0.534,19.544,16.341137,51998765056.0,2.6633527,96206487552.0,0.13488,531188785.0,8615650.0,7246234.0,0.00037,0.79295,3.25,1.9890088,-0.347,5.0,2.64,4.928,13.088,111.0,86.0,2.7,16.0,428200000.0,7350900224.0,44339998720.0,0.32,19523799040.0,169.394,0.02706,0.10514,-324337504.0,6034800128.0,-0.366,0.047,0.44895,0.37651002,0.18864
57,AES,utilities,utilities-diversified,9600.0,3.0,1.0,9.0,4.0,4.0,0.68,0.0377,3.06,1.07,16.84762,8.545895,12576246784.0,1.011847,45015277568.0,0.06066,707071104.0,28721621.0,18240829.0,0.00481,0.9895,4.09,4.068537,,1.05,1.61,3.622,12.85,25.0,20.0,1.9,9.0,1834000000.0,3503000064.0,29106999296.0,0.34,12428999680.0,367.049,0.03229,-0.01717,-7424999936.0,2526000128.0,,-0.028,0.2079,0.28184,0.16451
58,AFG,financial-services,insurance-property-casualty,8500.0,1.0,9.0,2.0,3.0,3.0,3.2,0.023599999,1.94,0.771,12.939623,11.420483,11508245504.0,1.4957428,11929425920.0,0.1158,68707995.0,780153.0,758339.0,0.17864001,0.63692003,3.4,2.6248708,0.045,10.6,4.68,1.55,8.936,155.0,132.0,2.6,5.0,1186000000.0,1335000064.0,1728000000.0,0.772,7694000128.0,39.416,0.02665,0.21273,597875008.0,1471000064.0,0.064,0.042,0.20159,0.17351,0.16022
